LCE_fold0
{'loss': 0.0005, 'learning_rate': 0.00232, 'epoch': 29.0}
{'loss': 0.0002, 'learning_rate': 0.0024, 'epoch': 30.0}
{'loss': 0.0004, 'learning_rate': 0.00248, 'epoch': 31.0}
{'loss': 0.0001, 'learning_rate': 0.00256, 'epoch': 32.0}
{'loss': 0.0, 'learning_rate': 0.00264, 'epoch': 33.0}
{'loss': 0.0, 'learning_rate': 0.00272, 'epoch': 34.0}
KE_fold0
{'loss': 1.1298, 'learning_rate': 8e-05, 'epoch': 1.0}
{'loss': 1.1235, 'learning_rate': 0.00016, 'epoch': 2.0}
{'loss': 0.1348, 'learning_rate': 0.00024, 'epoch': 2.13}
{'loss': 0.7902, 'learning_rate': 0.00032, 'epoch': 3.0}
{'loss': 0.6485, 'learning_rate': 0.0004, 'epoch': 4.0}
{'loss': 0.0876, 'learning_rate': 0.00048, 'epoch': 4.27}
{'loss': 0.1359, 'learning_rate': 0.0005600000000000001, 'epoch': 5.0}
{'loss': 0.1355, 'learning_rate': 0.00064, 'epoch': 6.0}
{'loss': 0.0507, 'learning_rate': 0.0007199999999999999, 'epoch': 6.4}
{'loss': 0.07, 'learning_rate': 0.0008, 'epoch': 7.0}
{'loss': 0.0899, 'learning_rate': 0.00088, 'epoch': 8.0}
{'loss': 0.0634, 'learning_rate': 0.00096, 'epoch': 8.53}
{'loss': 0.0274, 'learning_rate': 0.0010400000000000001, 'epoch': 9.0}
{'loss': 0.0865, 'learning_rate': 0.0011200000000000001, 'epoch': 10.0}
{'loss': 0.0539, 'learning_rate': 0.0012, 'epoch': 10.67}
{'loss': 0.0278, 'learning_rate': 0.00128, 'epoch': 11.0}
{'loss': 0.0767, 'learning_rate': 0.00136, 'epoch': 12.0}
{'loss': 0.0496, 'learning_rate': 0.0014399999999999999, 'epoch': 12.8}
{'loss': 0.0219, 'learning_rate': 0.00152, 'epoch': 13.0}
{'loss': 0.0706, 'learning_rate': 0.0016, 'epoch': 14.0}
{'loss': 0.2486, 'learning_rate': 0.00168, 'epoch': 14.93}
{'loss': 0.0002, 'learning_rate': 0.00176, 'epoch': 15.0}
{'loss': 0.0792, 'learning_rate': 0.00184, 'epoch': 16.0}
{'loss': 0.0756, 'learning_rate': 0.00192, 'epoch': 17.0}
{'loss': 0.0103, 'learning_rate': 0.002, 'epoch': 17.07}
{'loss': 0.0525, 'learning_rate': 0.0020800000000000003, 'epoch': 18.0}
{'loss': 0.0398, 'learning_rate': 0.00216, 'epoch': 19.0}
{'loss': 0.0067, 'learning_rate': 0.0022400000000000002, 'epoch': 19.2}
{'loss': 0.0765, 'learning_rate': 0.00232, 'epoch': 20.0}
{'loss': 0.0221, 'learning_rate': 0.0024, 'epoch': 21.0}
{'loss': 0.002, 'learning_rate': 0.00248, 'epoch': 21.33}
{'loss': 0.0152, 'learning_rate': 0.00256, 'epoch': 22.0}
{'loss': 0.0047, 'learning_rate': 0.00264, 'epoch': 23.0}
{'loss': 0.0007, 'learning_rate': 0.00272, 'epoch': 23.47}
{'loss': 0.0023, 'learning_rate': 0.0028, 'epoch': 24.0}
{'loss': 0.0019, 'learning_rate': 0.0028799999999999997, 'epoch': 25.0}
{'loss': 0.0012, 'learning_rate': 0.00296, 'epoch': 25.6}
{'loss': 0.0006, 'learning_rate': 0.00304, 'epoch': 26.0}
{'loss': 0.0009, 'learning_rate': 0.0031200000000000004, 'epoch': 27.0}
{'loss': 0.0, 'learning_rate': 0.0032, 'epoch': 27.73}
{'loss': 0.0, 'learning_rate': 0.00328, 'epoch': 28.0}
{'loss': 0.0066, 'learning_rate': 0.00336, 'epoch': 29.0}
{'loss': 0.2734, 'learning_rate': 0.00344, 'epoch': 29.87}
{'loss': 0.0193, 'learning_rate': 0.00352, 'epoch': 30.0}
{'loss': 0.1533, 'learning_rate': 0.0036000000000000003, 'epoch': 31.0}
{'loss': 1.7244, 'learning_rate': 0.00368, 'epoch': 32.0}
{'loss': 0.8121, 'learning_rate': 0.00376, 'epoch': 33.0}
{'loss': 0.348, 'learning_rate': 0.00384, 'epoch': 34.0}
KE_fold1
{'loss': 1.2049, 'learning_rate': 8e-05, 'epoch': 1.0}
{'loss': 1.2099, 'learning_rate': 0.00016, 'epoch': 2.0}
{'loss': 1.128, 'learning_rate': 0.00024, 'epoch': 3.0}
{'loss': 0.9533, 'learning_rate': 0.00032, 'epoch': 4.0}
{'loss': 0.6528, 'learning_rate': 0.0004, 'epoch': 5.0}
{'loss': 0.3194, 'learning_rate': 0.00048, 'epoch': 6.0}
{'loss': 0.1589, 'learning_rate': 0.0005600000000000001, 'epoch': 7.0}
{'loss': 0.1591, 'learning_rate': 0.00064, 'epoch': 8.0}
{'loss': 0.093, 'learning_rate': 0.0007199999999999999, 'epoch': 9.0}
{'loss': 0.0962, 'learning_rate': 0.0008, 'epoch': 10.0}
{'loss': 0.0894, 'learning_rate': 0.00088, 'epoch': 11.0}
{'loss': 0.0806, 'learning_rate': 0.00096, 'epoch': 12.0}
{'loss': 0.0801, 'learning_rate': 0.0010400000000000001, 'epoch': 13.0}
{'loss': 0.0852, 'learning_rate': 0.0011200000000000001, 'epoch': 14.0}
{'loss': 0.111, 'learning_rate': 0.0012, 'epoch': 15.0}
{'loss': 0.0962, 'learning_rate': 0.00128, 'epoch': 16.0}
{'loss': 0.0664, 'learning_rate': 0.00136, 'epoch': 17.0}
{'loss': 0.0629, 'learning_rate': 0.0014399999999999999, 'epoch': 18.0}
{'loss': 0.0478, 'learning_rate': 0.00152, 'epoch': 19.0}
{'loss': 0.0442, 'learning_rate': 0.0016, 'epoch': 20.0}
{'loss': 0.0403, 'learning_rate': 0.00168, 'epoch': 21.0}
{'loss': 0.0441, 'learning_rate': 0.00176, 'epoch': 22.0}
{'loss': 0.0076, 'learning_rate': 0.00184, 'epoch': 23.0}
{'loss': 0.0086, 'learning_rate': 0.00192, 'epoch': 24.0}
{'loss': 0.003, 'learning_rate': 0.002, 'epoch': 25.0}
{'loss': 0.0012, 'learning_rate': 0.0020800000000000003, 'epoch': 26.0}
{'loss': 0.0005, 'learning_rate': 0.00216, 'epoch': 27.0}
{'loss': 0.0005, 'learning_rate': 0.0022400000000000002, 'epoch': 28.0}
{'loss': 0.0, 'learning_rate': 0.00232, 'epoch': 29.0}
{'loss': 0.0, 'learning_rate': 0.0024, 'epoch': 30.0}
{'loss': 0.0, 'learning_rate': 0.00248, 'epoch': 31.0}
{'loss': 0.0001, 'learning_rate': 0.00256, 'epoch': 32.0}
{'loss': 0.0001, 'learning_rate': 0.00264, 'epoch': 33.0}
KE_fold2
{'loss': 1.2104, 'learning_rate': 8e-05, 'epoch': 1.0}
{'loss': 1.2091, 'learning_rate': 0.00016, 'epoch': 2.0}
{'loss': 1.1526, 'learning_rate': 0.00024, 'epoch': 3.0}
{'loss': 0.9713, 'learning_rate': 0.00032, 'epoch': 4.0}
{'loss': 0.6748, 'learning_rate': 0.0004, 'epoch': 5.0}
{'loss': 0.3385, 'learning_rate': 0.00048, 'epoch': 6.0}
{'loss': 0.1647, 'learning_rate': 0.0005600000000000001, 'epoch': 7.0}
{'loss': 0.1711, 'learning_rate': 0.00064, 'epoch': 8.0}
{'loss': 0.0968, 'learning_rate': 0.0007199999999999999, 'epoch': 9.0}
{'loss': 0.1037, 'learning_rate': 0.0008, 'epoch': 10.0}
{'loss': 0.0887, 'learning_rate': 0.00088, 'epoch': 11.0}
{'loss': 0.0894, 'learning_rate': 0.00096, 'epoch': 12.0}
{'loss': 0.1068, 'learning_rate': 0.0010400000000000001, 'epoch': 13.0}
{'loss': 0.0983, 'learning_rate': 0.0011200000000000001, 'epoch': 14.0}
{'loss': 0.0834, 'learning_rate': 0.0012, 'epoch': 15.0}
{'loss': 0.0723, 'learning_rate': 0.00128, 'epoch': 16.0}
{'loss': 0.0821, 'learning_rate': 0.00136, 'epoch': 17.0}
{'loss': 0.1445, 'learning_rate': 0.0014399999999999999, 'epoch': 18.0}
{'loss': 0.0947, 'learning_rate': 0.00152, 'epoch': 19.0}
{'loss': 0.7695, 'learning_rate': 0.0016, 'epoch': 20.0}
{'loss': 0.0511, 'learning_rate': 0.00168, 'epoch': 21.0}
{'loss': 0.1828, 'learning_rate': 0.00176, 'epoch': 22.0}
{'loss': 0.119, 'learning_rate': 0.00184, 'epoch': 23.0}
{'loss': 2.1381, 'learning_rate': 0.00192, 'epoch': 24.0}
{'loss': 0.4266, 'learning_rate': 0.002, 'epoch': 25.0}
{'loss': 0.1084, 'learning_rate': 0.0020800000000000003, 'epoch': 26.0}
